# Kolumn 5 = VAR: kallan anger uttryckligen VARIABELT tempo. Sadana latar
# DRIVER av konstruktion och far INTE raknas som analysatorfel -- de har inget
# stabilt tempo att traffa. karaoke-version.com markerar dem uttryckligen.
# artist	titel	bpm	alt-bpm   (alt = annan inspelning ELLER oktavtvetydighet)
Tomas Ledin	Innan morgonen kom	76	
Tomas Ledin	Set The World On Fire	78	
Tomas Ledin	Midsommarafton i Himalaya	79	
Tomas Ledin	Varje steg för oss närmare varann	80	
Tomas Ledin	Bjurö klubb	81	
Tomas Ledin	Vem tänder stjärnorna	82	
Tomas Ledin	Vi är vårt land	83	
Tomas Ledin	Hela världen håller andan	85	
Tomas Ledin	När vi var unga	86	81
Tomas Ledin	Balladen om kapten Magnus Berlin	89	173
Tomas Ledin	I natt är jag din	89	94
Tomas Ledin	Nyckeln till dej	90	
Tomas Ledin	En vind av längtan	92	91
Tomas Ledin	Snart	92	
Tomas Ledin	Blå, blå känslor	93	92
Tomas Ledin	Genom ett regnigt Europa	94	
Tomas Ledin	Huvet upp och fötterna ner	95	
Tomas Ledin	Kom tillbaka	95	
Tomas Ledin	Höga kusten	97	
Tomas Ledin	Långt ute på landet	97	
Tomas Ledin	En del av mitt hjärta	98	82
Tomas Ledin	Abborrgrundet	100	
Tomas Ledin	Kanske kvällens sista dans	100	
Tomas Ledin	Lata dagar glider förbi	100	
Tomas Ledin	Vi ska gömma oss i varandra	100	132
Tomas Ledin	Eulalias mamma	101	
Tomas Ledin	Änglar i snön	101	103
Tomas Ledin	Alltid en vän i mej	102	
Tomas Ledin	Den jag kunde va	102	
Tomas Ledin	En midsommaraftons dröm	102	95
Tomas Ledin	Här kommer den nya tiden	102	
Tomas Ledin	Svenska flickor	102	
Tomas Ledin	Hon gör allt för att göra mig lycklig	104	
Tomas Ledin	En målning av Helmer Osslund	105	
Tomas Ledin	Som jag har längtat	105	
Tomas Ledin	Fantasi	108	
Tomas Ledin	Släpp hästarna fria	108	
Tomas Ledin	För dina ögons skull	109	
Tomas Ledin	Noja	109	
Tomas Ledin	Ta' mej	111	
Tomas Ledin	Ansikte	112	
Tomas Ledin	Bara Miles blåa toner hänger kvar	112	
Tomas Ledin	En dag på stranden	114	106
Tomas Ledin	En hel och lycklig man	114	
Tomas Ledin	Att inte göra någonting alls	115	
Tomas Ledin	Din vän i alla fall	115	
Tomas Ledin	Inte en chans	119	
Tomas Ledin	Sommaren är kort	119	105
Tomas Ledin	Ta av dej masken	119	
Tomas Ledin	Sommaren är kort 2000	120	
Tomas Ledin	Det händer så lätt	122	
Tomas Ledin	Det ligger i luften	122	123
Tomas Ledin	Håll ut	122	
Tomas Ledin	Knivhuggarrock	122	114
Tomas Ledin	Det finns inget finare än kärleken	123	86
Tomas Ledin	Helt galen i dig	124	126
Tomas Ledin	En man som älskar	125	126
Tomas Ledin	Fåglarna flyger högre i år	125	
Tomas Ledin	Sånger att älska till	125	
Tomas Ledin	Dansa i neon	127	
Tomas Ledin	Lika hopplöst förälskad	127	
Tomas Ledin	Lova mig att du är där	127	
Tomas Ledin	Fortfarande	128	
Tomas Ledin	Känslorna som försvann	128	
Tomas Ledin	De dagar vi drömt om	130	
Tomas Ledin	Den stora tystnaden	130	
Tomas Ledin	Sensuella Isabella	131	
Tomas Ledin	Vi är på gång	132	133
Tomas Ledin	Du kan lita på mej	133	
