Innan morgonen kom	76	
Set The World On Fire	78	
Midsommarafton i Himalaya	79	
Varje steg för oss närmare varann	80	
Bjurö klubb	81	
Vem tänder stjärnorna	82	
Vi är vårt land	83	
Hela världen håller andan	85	
När vi var unga	86	81
Balladen om kapten Magnus Berlin	89	173
I natt är jag din	89	94
Nyckeln till dej	90	
En vind av längtan	92	91
Snart	92	
Blå, blå känslor	93	92
Genom ett regnigt Europa	94	
Huvet upp och fötterna ner	95	
Kom tillbaka	95	
Höga kusten	97	
Långt ute på landet	97	
En del av mitt hjärta	98	82
Abborrgrundet	100	
Kanske kvällens sista dans	100	
Lata dagar glider förbi	100	
Vi ska gömma oss i varandra	100	132
Eulalias mamma	101	
Änglar i snön	101	103
Alltid en vän i mej	102	
Den jag kunde va	102	
En midsommaraftons dröm	102	95
Här kommer den nya tiden	102	
Svenska flickor	102	
Hon gör allt för att göra mig lycklig	104	
En målning av Helmer Osslund	105	
Som jag har längtat	105	
Fantasi	108	
Släpp hästarna fria	108	
För dina ögons skull	109	
Noja	109	
Ta' mej	111	
Ansikte	112	
Bara Miles blåa toner hänger kvar	112	
En dag på stranden	114	106
En hel och lycklig man	114	
Att inte göra någonting alls	115	
Din vän i alla fall	115	
Inte en chans	119	
Sommaren är kort	119	105
Ta av dej masken	119	
Sommaren är kort 2000	120	
Det händer så lätt	122	
Det ligger i luften	122	123
Håll ut	122	
Knivhuggarrock	122	114
Det finns inget finare än kärleken	123	86
Helt galen i dig	124	126
En man som älskar	125	126
Fåglarna flyger högre i år	125	
Sånger att älska till	125	
Dansa i neon	127	
Lika hopplöst förälskad	127	
Lova mig att du är där	127	
Fortfarande	128	
Känslorna som försvann	128	
De dagar vi drömt om	130	
Den stora tystnaden	130	
Sensuella Isabella	131	
Vi är på gång	132	133
Du kan lita på mej	133	
Minns du Hollywood	134	135
Festen har börjat	136	137
Livs levande	136	
Medelklassens okrönta kungar	138	
Du och jag och sommaren	140	
Just nu	140	124
Taxi Taxi	140	
Ä lu oäten	141	
Balladen om djävulen och ängeln	142	
Kärleken är som en studsande boll	142	
Mitt hjärta	142	
500 dagar om året	149	
Atlantkustens kyliga smekning	150	
Luftballongen	150	
Snart tystnar musiken	152	76
Ut på vägarna igen	155	
Håll om mig en sista gång	157	
På vingar av stål	157	
När kärleken kom	158	
Det var ingenting allvarligt	160	80
Höstvals	163	
Min farfar gick i tåget	172	
Ärligt talat	172	
Under resans gång	174	
Hela huset sov	176	
Hopp	182	
Jag vet inte varför	134	
